DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,FORM_NAME,FORM_50,CONTROL_GROUP,TEST_GROUP,MULTIPLE_MEASUREMENT,MULTIPLE_TYPE,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
26,1445,Tolclofos-methyl,>500,LC50,25SC,>500,1445_ai_e,1445_form_g,1445_5,1,NA,Earthworm,NA,Fungicide,NA,Acute,Soluble Concentrate,YES,NA,NA,NA
27,1445,Tolclofos-methyl,>500,LC50,10Dust,>500,1445_ai_e,1445_form_f,1445_6,1,NA,Earthworm,NA,Fungicide,NA,Acute,Powder,YES,NA,NA,NA
28,1447,Triticonazole,>3.6,LC50,CRLD 001002,0.89,1447_ai_a,1447_form_a,1447_1,1,Oncorhynchus mykiss,Rainbow trout,96,Fungicide,NA,Acute,UNSURE,YES,NA,NA,NA
29,1447,Triticonazole,9,EC50,EXP 10642A,0.78,1447_ai_b,1447_form_b,1447_2,1,Daphnia magna,Water flea,48,Fungicide,NA,Acute,UNSURE,YES,NA,NA,NA
30,1447,Triticonazole,>1000,LC50,EXP 80472B,>1000,1447_ai_c,1447_form_c,1447_3,1,NA,Earthworm,NA,Fungicide,NA,Acute,UNSURE,UNSURE,NA,NA,NA
31,1446,Clodinafop-propargyl,1392,LD50,TOPIK 100EC,234,1446_ai_a,1446_form_a,1446_1,1,NA,Mammals,NA,Herbicide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
32,1446,Clodinafop-propargyl,>93.7,LD50,TOPIK 100EC,17.8,1446_ai_b,1446_form_b,1446_2,1,Apis mellifera,Honeybee,NA,Herbicide,Oral,Acute,Emusifiable Concentrate,YES,NA,NA,NA
33,1446,Clodinafop-propargyl,197,LC50,TOPIK 100EC,28.3,1446_ai_c,1446_form_c,1446_3,1,NA,Earthworm,NA,Herbicide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
34,1443,Pirimiphos-methyl,0.404,LC50,Actellic 50EC,0.266,1443_ai_a,1443_form_a,1443_1,1,Oncorhynchus mykiss,Rainbow trout,96,Insecticide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
35,1443,Pirimiphos-methyl,0.00021,EC50,Actellic 50EC,0.00025,1443_ai_b,1443_form_b,1443_2,1,Daphnia magna,Water flea,48,Insecticide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
36,1443,Pirimiphos-methyl,1.4,LC50,Actellic 50EC,0.76,1443_ai_c,1443_form_c,1443_3,1,Cyrpinus carpio,NA,96,Insecticide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
37,1442,Pirimicarb,0.017,EC50,Pirimor,0.024,1442_ai_a,1442_form_a,1442_1,1,Daphnia magna,Water flea,48,Insecticide,NA,Acute,Water dispersible granule,UNSURE,NA,NA,NA
38,1442,Pirimicarb,4,LD50,Pirimor,14,1442_ai_b,1442_form_b,1442_2,1,Apis mellifera,Honeybee,24,Insecticide,Oral,Acute,Water dispersible granule,YES,NA,NA,NA
39,1449,Thiodicarb,0.027,EC50,Larvin,0.109,1449_ai_a,1449_form_a,1449_1,1,Daphnia magna,Water flea,48,Insecticide,NA,Acute,Soluble Concentrate,NO,YES,NA,NA
40,1449,Thiodicarb,38.5,LC50,Larvin,90.3,1449_ai_b,1449_form_b,1449_2,1,NA,Earthworm,NA,Insecticide,NA,Acute,Soluble Concentrate,YES,NA,NA,NA
41,1448,Trinexapac-ethyl,>142.5,EC50,Moddus 250 EC,0.73,1448_ai_a,1448_form_a,1448_1,1,Daphnia magna,Water flea,48,Plant growth regulator,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
42,1448,Trinexapac-ethyl,8.8,EC50,Moddus 250 EC,5.5,1448_ai_b,1448_form_b,1448_2,1,Lemna gibba,NA,168,Plant growth regulator,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
43,1451,Metrafenone,>0.82,LC50,BAS 560 00F,>28.2,1451_ai_a,1451_form_b,1451_1,1,Oncorhynchus mykiss,Rainbow trout,96,Fungicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
44,1451,Metrafenone,>0.82,LC50,BAS 560 02F,>57.2,1451_ai_a,1451_form_c,1451_2,1,Oncorhynchus mykiss,Rainbow trout,96,Fungicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
45,1451,Metrafenone,>0.92,EC50,BAS 560 00F,6,1451_ai_d,1451_form_e,1451_3,1,Daphnia magna,Water flea,48,Fungicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
46,1451,Metrafenone,>0.92,EC50,BAS 560 02F,>1.09,1451_ai_d,1451_form_f,1451_4,1,Daphnia magna,Water flea,48,Fungicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
47,1451,Metrafenone,0.71,EC50,BAS 560 00F,2.9,1451_ai_g,1451_form_h,1451_5,1,Selenastrum capricornutum,NA,72,Fungicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
48,1451,Metrafenone,0.71,EC50,BAS 560 02F,>2.248,1451_ai_g,1451_form_i,1451_6,1,Selenastrum capricornutum,NA,72,Fungicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
49,1451,Metrafenone,>0.87,EC50,BAS 560 00F,21,1451_ai_g,1451_form_h,1451_7,2,Selenastrum capricornutum,NA,72,Fungicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
50,1451,Metrafenone,>0.87,EC50,BAS 560 02F,>2.248,1451_ai_g,1451_form_i,1451_8,2,Selenastrum capricornutum,NA,72,Fungicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
51,1451,Metrafenone,>114,LD50,BAS 560 00F,>32.7,1451_ai_j,1451_form_k,1451_9,1,Apis mellifera,Honeybee,NA,Fungicide,Oral,Acute,Suspension Concentrate,YES,NA,NA,NA
52,1451,Metrafenone,>114,LD50,BAS 560 02F,>58.3,1451_ai_j,1451_form_l,1451_10,1,Apis mellifera,Honeybee,NA,Fungicide,Contact,Acute,Suspension Concentrate,YES,NA,NA,NA
53,1451,Metrafenone,>100,LD50,BAS 560 00F,>28.8,1451_ai_m,1451_form_n,1451_11,1,Apis mellifera,Honeybee,NA,Fungicide,Oral,Acute,Suspension Concentrate,YES,NA,NA,NA
54,1451,Metrafenone,>100,LD50,BAS 560 02F,>48.9,1451_ai_m,1451_form_o,1451_12,1,Apis mellifera,Honeybee,NA,Fungicide,Contact,Acute,Suspension Concentrate,YES,NA,NA,NA
55,1451,Metrafenone,>500,LC50,BAS 560 00F,>150,1451_ai_p,1451_form_q,1451_13,1,NA,Earthworm,NA,Fungicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
56,1451,Metrafenone,>500,LC50,BAS 560 02F,>250,1451_ai_p,1451_form_r,1451_14,1,NA,Earthworm,NA,Fungicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
57,1452,Fenitrothion,330,LD50,IPM 400,8800,1452_ai_a,1452_form_a,1452_1,1,NA,Mammals,NA,Insecticide,NA,Acute,Capsule Suspension Concentrate,YES,NA,NA,NA
58,1452,Fenitrothion,23,LD50,IPM 400,47.1,1452_ai_b,1452_form_b,1452_2,1,NA,Birds,NA,Insecticide,Oral,Chronic,Capsule Suspension Concentrate,YES,NA,NA,NA
59,1452,Fenitrothion,1.3,LC50,IPM 400,>2.1,1452_ai_c,1452_form_c,1452_3,1,Oncorhynchus mykiss,Rainbow trout,96,Insecticide,NA,Acute,Capsule Suspension Concentrate,YES,NA,NA,NA
60,1452,Fenitrothion,0.2,LD50,IPM 400,16.48,1452_ai_d,1452_form_d,1452_4,1,Apis mellifera,Honeybee,NA,Insecticide,Oral,Acute,Capsule Suspension Concentrate,YES,NA,NA,NA
61,1452,Fenitrothion,0.16,LD50,IPM 400,9.38,1452_ai_e,1452_form_e,1452_5,1,Apis mellifera,Honeybee,NA,Insecticide,Contact,Acute,Capsule Suspension Concentrate,YES,NA,NA,NA
62,1453,Pyrimethanil,10.56,LC50,Scala,19,1453_ai_a,1453_form_a,1453_1,1,Oncorhynchus mykiss,Rainbow trout,96,Fungicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
63,1453,Pyrimethanil,2.9,EC50,Scala,3.8,1453_ai_b,1453_form_b,1453_2,1,Daphnia magna,Water flea,48,Fungicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
64,1453,Pyrimethanil,5.84,EC50,Scala,13.1,1453_ai_c,1453_form_c,1453_3,1,NA,Green alga,96,Fungicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
65,1453,Pyrimethanil,>100,LD50,Scala,>80,1453_ai_d,1453_form_d,1453_4,1,Apis mellifera,Honeybee,NA,Fungicide,Oral,Acute,Suspension Concentrate,NO,YES,NA,NA
66,1453,Pyrimethanil,>100,LD50,Scala,>80,1453_ai_e,1453_form_e,1453_5,1,Apis mellifera,Honeybee,NA,Fungicide,Contact,Acute,Suspension Concentrate,NO,YES,NA,NA
67,1453,Pyrimethanil,313,LC50,Scala,>187,1453_ai_f,1453_form_f,1453_6,1,NA,Earthworm,336,Fungicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
68,1454,Malathion,359,LD50,Fyfanon,214,1454_ai_a,1454_form_a,1454_1,1,Colinus virginianus,Bobwhite quail,NA,Insecticide,NA,Acute,Oil in water emulsion,YES,NA,NA,NA
69,1454,Malathion,0.022,LC50,Fyfanon,0.053,1454_ai_b,1454_form_b,1454_2,1,NA,Fish,96,Insecticide,NA,Acute,Oil in water emulsion,UNSURE,NA,NA,NA
70,1454,Malathion,0.00072,EC50,Fyfanon,0.0018,1454_ai_c,1454_form_c,1454_3,1,Daphnia magna,Water flea,48,Insecticide,NA,Acute,Oil in water emulsion,UNSURE,NA,NA,NA
71,1454,Malathion,306,LC50,Fyfanon,58,1454_ai_d,1454_form_d,1454_4,1,NA,Earthworm,336,Insecticide,NA,Acute,Oil in water emulsion,YES,NA,NA,NA
72,1450,Metconazole,4.2,EC50,Caramba 60 SL,0.365,1450_ai_a,1450_form_a,1450_1,1,Daphnia magna,Water flea,48,Fungicide,NA,Acute,Soluble Concentrate,YES,NA,NA,NA
73,1450,Metconazole,1.7,EC50,Caramba 60 SL,5.13,1450_ai_b,1450_form_b,1450_2,1,Selenastrum capricornutum,NA,72,Fungicide,NA,Acute,Soluble Concentrate,YES,NA,NA,NA
74,1457,Fipronil,>1000,LC50,Regent 500FS,>1000,1457_ai_a,1457_form_a,1457_1,1,NA,Earthworm,NA,Insecticide,NA,Acute,Flowable concentrate,UNSURE,NA,NA,NA
75,1455,Ethoprophos,47,LD50,Mocap 10G,32.9,1455_ai_a,1455_form_a,1455_1,1,NA,Rat,NA,Insecticide,NA,Acute,Granule,YES,NA,NA,NA
76,1458,Cadusafos,16.1,LD50,Rugby 200CS,20.52,1458_ai_a,1458_form_a,1458_1,1,Colinus virginianus,Bobwhite quail,NA,Insecticide,Oral,Acute,Capsule Suspension,UNSURE,NA,NA,NA
77,1458,Cadusafos,130,LC50,Rugby 200CS,900,1458_ai_b,1458_form_b,1458_2,1,Oncorhynchus mykiss,Rainbow trout,96,Insecticide,NA,Acute,Capsule Suspension,UNSURE,NA,NA,NA
78,1458,Cadusafos,0.75,LC50,Rugby 200CS,0.22,1458_ai_c,1458_form_c,1458_3,1,Daphnia magna,Water flea,48,Insecticide,NA,Acute,Capsule Suspension,UNSURE,NA,NA,NA
79,1465,Formetanate hydrochloride,1.3,EC50,Dicarzol 500 SG,0.6,1465_ai_a,1465_form_a,1465_1,1,Selenastrum capricornutum,NA,72,Insecticide,NA,Acute,Water soluble granule,NO,YES,NA,NA
80,1463,Phosmet,0.23,LC50,Imidan 50 WP,0.073,1463_ai_a,1463_form_a,1463_1,1,Oncorhynchus mykiss,Rainbow trout,96,Insecticide,NA,Acute,Wettable Powder,UNSURE,NA,NA,NA
81,1463,Phosmet,0.51,EC50,Imidan 50 WP,1.795,1463_ai_b,1463_form_b,1463_2,1,NA,Algae,72,Insecticide,NA,Acute,Wettable Powder,UNSURE,NA,NA,NA
82,1463,Phosmet,0.0021,EC50,Imidan 50 WP,0.0022,1463_ai_c,1463_form_c,1463_3,1,Daphnia magna,Water flea,48,Insecticide,NA,Acute,Wettable Powder,UNSURE,NA,NA,NA
83,1462,Carbaryl,614,LD50,Sevin XLR Plus,300,1462_ai_a,1462_form_a,1462_1,1,NA,Rat,NA,Plant growth regulator,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
84,1462,Carbaryl,>0.21,LD50,Sevin XLR Plus,>0.69,1462_ai_b,1462_form_b,1462_2,1,Apis mellifera,Honeybee,72,Plant growth regulator,Oral,Acute,Suspension Concentrate,YES,NA,NA,NA
85,1462,Carbaryl,0.14,LD50,Sevin XLR Plus,>1.69,1462_ai_c,1462_form_c,1462_3,1,Apis mellifera,Honeybee,72,Plant growth regulator,Contact,Acute,Suspension Concentrate,YES,NA,NA,NA
86,1467,Dimethomorph,3900,LD50,Forum,135,1467_ai_a,1467_form_a,1467_1,1,NA,Mammals,NA,Fungicide,NA,Acute,Dispersible Concentrate,YES,NA,NA,NA
87,1467,Dimethomorph,>2000,LD50,Forum,186,1467_ai_b,1467_form_b,1467_2,1,Colinus virginianus,Bobwhite quail,NA,Fungicide,NA,Acute,Dispersible Concentrate,YES,NA,NA,NA
88,1467,Dimethomorph,3.4,LC50,Forum,2.64,1467_ai_c,1467_form_c,1467_3,1,Oncorhynchus mykiss,Rainbow trout,96,Fungicide,NA,Acute,Dispersible Concentrate,UNSURE,NA,NA,NA
89,1467,Dimethomorph,>32.4,LD50,Forum,>74.4,1467_ai_d,1467_form_d,1467_4,1,Apis mellifera,Honeybee,48,Fungicide,Oral,Acute,Dispersible Concentrate,UNSURE,NA,NA,NA
90,1467,Dimethomorph,>102,LD50,Forum,>100,1467_ai_e,1467_form_e,1467_5,1,Apis mellifera,Honeybee,48,Fungicide,Contact,Acute,Dispersible Concentrate,UNSURE,NA,NA,NA
91,1467,Dimethomorph,>500,LC50,Forum,99.5,1467_ai_f,1467_form_f,1467_6,1,NA,Earthworm,NA,Fungicide,NA,Acute,Dispersible Concentrate,YES,NA,NA,NA
92,1471,Methomyl,30,LD50,Methomyl 20SL,27.35,1471_ai_a,1471_form_a,1471_1,1,NA,Mammals,NA,Insecticide,NA,Acute,Soluble Concentrate,YES,NA,NA,NA
93,1471,Methomyl,24.2,LD50,Methomyl 20SL,30.4,1471_ai_b,1471_form_b,1471_2,1,Colinus virginianus,Bobwhite quail,NA,Insecticide,NA,Acute,Soluble Concentrate,UNSURE,NA,NA,NA
