DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,AI_ERROR_LOWER,AI_ERROR_HIGHER,AI_ERROR_TYPE,AI_N_CONTAINER,AI_N_INDIVIDUALS_PER_CONTAINER,AI_N_STRUCTURE,FORM_NAME,FORM_50,FORM_50_TYPE,FORM_ERROR_LOWER,FORM_ERROR_HIGHER,FORM_ERROR_TYPE,FORM_N_CONTAINER,FORM_N_INDIVIDUALS_PER_CONTAINER,FORM_N_STRUCTURE,CI_METHOD,CONTROL_GROUP,TEST_GROUP,MULTIPLE_MEASUREMENT,MULTIPLE_TYPE,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,STRAIN_CLONE_SOURCE,SPECIES_CLASS,SPECIES_PHYLUM,SPECIES_KINGDOM,ECOSYSTEM,LIFE_STAGE,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,NANO_FORMULATION,BIO_FORMULATION,SEX,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,TEMPERATURE_°C,PH,FEEDING_STATE,AGE_TEST_ORGANISM_HOURS,REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED,GUIDELINES,WATER_HARDNESS_mg_L_Ca_CO3,SE_SIMULATION_REQUIRED,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
20,130,Chlorpyrifos,1620.388,LC50,262.94,273.677,CI_95,3,5,"5 individuals/aquarium, 3 replicates",Dursban ®,650.577,LC50,104.041,109.747,CI_95,3,5,"5 individuals/aquarium, 3 replicates",Probit,130_ai_i,130_form_i,130_3,1,Pila globosa,NA,"Pond in Kalyani, Nadia district, West Bengal, India",Gastropoda,Mollusca,Animalia,Aquatic,Medium sized,72,Insecticide,NO,NO,NA,Environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,Emulsifiable concentrate ,YES,NA,2024,Extracted values from the suplementary material and not the figure
21,130,Chlorpyrifos,1482.097,LC50,251.02,251.56,CI_95,3,5,"5 individuals/aquarium, 3 replicates",Dursban ®,536.926,LC50,102.366,113.471,CI_95,3,5,"5 individuals/aquarium, 3 replicates",Probit,130_ai_i,130_form_i,130_3,1,Pila globosa,NA,"Pond in Kalyani, Nadia district, West Bengal, India",Gastropoda,Mollusca,Animalia,Aquatic,Medium sized,96,Insecticide,NO,NO,NA,Environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,Emulsifiable concentrate ,YES,NA,2024,Extracted values from the suplementary material and not the figure
22,130,Chlorpyrifos,0.533,LC50,0.012,0.015,CI_95,3,10,"10 individuals/becher, 3 replicates",Dursban ®,0.288,LC50,0.014,0.014,CI_95,3,10,"10 individuals/becher, 3 replicates",Probit,130_ai_m,130_form_m,130_4,1,Cyclops viridis ,NA,"Pond in Kalyani, Nadia district, West Bengal, India",Copepoda,Arthropoda,Animalia,Aquatic,NA,24,Insecticide,NO,NO,NA,Environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,Emulsifiable concentrate ,YES,NA,2024,Extracted values from the suplementary material and not the figure
23,130,Chlorpyrifos,0.52,LC50,0.012,0.012,CI_95,3,10,"10 individuals/becher, 3 replicates",Dursban ®,0.268,LC50,0.014,0.015,CI_95,3,10,"10 individuals/becher, 3 replicates",Probit,130_ai_m,130_form_m,130_4,1,Cyclops viridis ,NA,"Pond in Kalyani, Nadia district, West Bengal, India",Copepoda,Arthropoda,Animalia,Aquatic,NA,48,Insecticide,NO,NO,NA,Environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,Emulsifiable concentrate ,YES,NA,2024,Extracted values from the suplementary material and not the figure
24,130,Chlorpyrifos,0.51,LC50,0.012,0.011,CI_95,3,10,"10 individuals/becher, 3 replicates",Dursban ®,0.259,LC50,0.014,0.014,CI_95,3,10,"10 individuals/becher, 3 replicates",Probit,130_ai_m,130_form_m,130_4,1,Cyclops viridis ,NA,"Pond in Kalyani, Nadia district, West Bengal, India",Copepoda,Arthropoda,Animalia,Aquatic,NA,72,Insecticide,NO,NO,NA,Environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,Emulsifiable concentrate ,YES,NA,2024,Extracted values from the suplementary material and not the figure
25,130,Chlorpyrifos,0.502,LC50,0.013,0.012,CI_95,3,10,"10 individuals/becher, 3 replicates",Dursban ®,0.249,LC50,0.015,0.016,CI_95,3,10,"10 individuals/becher, 3 replicates",Probit,130_ai_m,130_form_m,130_4,1,Cyclops viridis ,NA,"Pond in Kalyani, Nadia district, West Bengal, India",Copepoda,Arthropoda,Animalia,Aquatic,NA,96,Insecticide,NO,NO,NA,Environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,Emulsifiable concentrate ,YES,NA,2024,Extracted values from the suplementary material and not the figure
26,269,Chlorpyrifos,1690,LC50,100,110,CI_95,1,40,40 individuals/bioessay,CLORP-F ®,1340,LC50,322,360,CI_95,1,20,20 individuals/bioessay,Probit,269_ai_a,269_form_a,269_1,1,Biomphalaria straminea,NA,Not indicated,Gastropoda,Mollusca,Animalia,Aquatic,Adult,48,Insecticide,NO,NO,NA,Environmental,Acute,22,7.66,No feeding,NA,NO,NA,NA,NO,Emulsifiable concentrate ,YES,NA,2024,"Didn't found information on the type of formulation, even after quick search on Internet"
27,369,Glyphosate,160,LC50,2,1.7,CI_95,4,5,"5 embryos/replicate, 4 replicate",Fozat ® 480,111.2,LC50,6,6.1,CI_95,4,5,"5 embryos/replicate, 4 replicate",log-logistic,369_ai_a,369_form_b,369_1,1,Danio rerio ,Zebrafish,"Wild type, AB",Actinopterygii,Chordata,Animalia,Aquatic,Embryo,120,Herbicide,NO,NO,NA,Environmental,Acute ,25.5,7,NA,120 hpf,YES,OECD,NA,NO,Soluble liquid concentrate ,YES,NA,2024,They mention that the different formulations use different salts 
28,369,Glyphosate,160,LC50,2,1.7,CI_95,4,5,"5 embryos/replicate, 4 replicate",Dominator ® Extra 608,71.2,LC50,5.81,5.94,CI_95,4,5,"5 embryos/replicate, 4 replicate",log-logistic,369_ai_a,369_form_c,369_2,1,Danio rerio ,Zebrafish,"Wild type, AB",Actinopterygii,Chordata,Animalia,Aquatic,Embryo,120,Herbicide,NO,NO,NA,Environmental,Acute ,25.5,7,NA,120 hpf,YES,OECD,NA,NO,Soluble liquid concentrate ,YES,NA,2024,They mention that the different formulations use different salts 
29,369,Glyphosate,160,LC50,2,1.7,CI_95,4,5,"5 embryos/replicate, 4 replicate",Total ®,40.3,LC50,6.18,6.29,CI_95,4,5,"5 embryos/replicate, 4 replicate",log-logistic,369_ai_a,369_form_d,369_3,1,Danio rerio ,Zebrafish,"Wild type, AB",Actinopterygii,Chordata,Animalia,Aquatic,Embryo,120,Herbicide,NO,NO,NA,Environmental,Acute ,25.5,7,NA,120 hpf,YES,OECD,NA,NO,Soluble liquid concentrate ,YES,NA,2024,They mention that the different formulations use different salts 
30,369,Glyphosate,160,LC50,2,1.7,CI_95,4,5,"5 embryos/replicate, 4 replicate",Roundup ® Mega ,30.8,LC50,2.06,2.2,CI_95,4,5,"5 embryos/replicate, 4 replicate",log-logistic,369_ai_a,369_form_e,369_4,1,Danio rerio ,Zebrafish,"Wild type, AB",Actinopterygii,Chordata,Animalia,Aquatic,Embryo,120,Herbicide,NO,NO,NA,Environmental,Acute ,25.5,7,NA,120 hpf,YES,OECD,NA,NO,Soluble liquid concentrate ,YES,NA,2024,They mention that the different formulations use different salts 
31,868,Ivermectin,>150000,LC50,NA,NA,NA,3,10,"10 embryos, triplicates",FACyT SRL,>150000,LC50,NA,NA,NA,3,10,"10 embryos, triplicates",Probit,868_ai_a,868_form_a,868_1,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Embryo,24,Anti-parasitic,NO,MAYBE,NA,Environmental,Acute ,20,NA,Fed,Stage 4-6,YES,AMPHITOX,NA,YES,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
